time,Date,load_2030,solar,wind,gas,batt_charge,batt_discharge,SOC,load_net,load_and_charge
2030-11-07T08:00:00Z,11/7/2018,549.4579606604359,175.77689022709438,105.42134671095343,0,0,268.259723722388,1009.4369598620159,-0,549.46
2030-11-07T09:00:00Z,11/7/2018,540.0007342486249,272.3813968609049,132.0029094545949,0,0,135.61642793312507,849.8882211171622,0,540
2030-11-07T10:00:00Z,11/7/2018,520.740263641909,352.903750775061,194.10196454505945,0,26.265451678211456,0,876.1536727953737,0,547.01
2030-11-07T11:00:00Z,11/7/2018,501.871855048874,457.97575780589744,245.2290554392133,0,201.332958196237,0,1077.4866309916106,-0,703.2
2030-11-07T12:00:00Z,11/7/2018,488.901936907499,574.0921227195149,317.6213965282791,0,402.81158234029505,0,1480.2982133319058,-0,891.71
2030-11-07T13:00:00Z,11/7/2018,489.528877316944,605.8896084381831,284.13993877458614,0,400.5006698958248,0,1880.7988832277306,0,890.03
2030-11-07T14:00:00Z,11/7/2018,497.16980066639604,492.95938607344783,259.36818455817155,0,255.15776996522342,0,2135.9566531929545,-0,752.33
2030-11-07T15:00:00Z,11/7/2018,512.298249142604,322.8882210114362,257.21903693208947,0,67.80900880092167,0,2203.765661993876,-0,580.11
2030-11-07T16:00:00Z,11/7/2018,550.356873715533,156.9488886155977,255.63545447076658,137.77253062916867,0,0,2203.765661993876,-0,550.36
2030-11-07T17:00:00Z,11/7/2018,613.26251313751,0,195.5724339734312,410.11453174569147,0,7.575547418387257,2194.8532532663617,-0,613.26
2030-11-07T18:00:00Z,11/7/2018,616.313936621027,0,387.75147695831265,228.5624596627143,0,0,2194.8532532663617,0,616.31
2030-11-07T19:00:00Z,11/7/2018,604.0196316477579,0,317.73450956123105,286.28512208652677,0,0,2194.8532532663617,-0,604.02
2030-11-07T20:00:00Z,11/7/2018,581.900586130399,0,296.69548543222146,285.20510069817755,0,0,2194.8532532663617,0,581.9
2030-11-07T21:00:00Z,11/7/2018,552.510310424655,0,268.5303402272562,283.9799701973988,0,0,2194.8532532663617,0,552.51
2030-11-07T22:00:00Z,11/7/2018,508.041735515362,0,331.76052564723824,176.28120986812374,0,0,2194.8532532663617,0,508.04
2030-11-07T23:00:00Z,11/7/2018,472.644764766818,0,316.2640401328594,140.78277615006095,0,15.597948483897628,2176.5027256382473,0,472.64
2030-11-08T00:00:00Z,11/7/2018,454.010322585729,0,190.25612142470345,0,0,263.7542011610255,1866.2036654488056,-0,454.01
2030-11-08T01:00:00Z,11/8/2018,447.33643182937396,0,171.14001885587177,0,0,276.1964129735023,1541.2667090093905,0,447.34
2030-11-08T02:00:00Z,11/8/2018,444.99878317709795,0,159.26315039594675,0,0,285.73563278115125,1205.1071410315653,0,445
2030-11-08T03:00:00Z,11/8/2018,448.454970341049,0,243.64547297788954,0,0,204.80949736315952,964.1547911925541,0,448.45
2030-11-08T04:00:00Z,11/8/2018,460.975738354156,0,254.1649850423949,0,0,206.8107533117612,720.8480225904822,0,460.98
2030-11-08T05:00:00Z,11/8/2018,494.46013974103295,0,266.154966535271,0,0,228.30517320576203,452.25370117193864,0,494.46
2030-11-08T06:00:00Z,11/8/2018,543.109319167447,0,484.57623316493874,0,0,58.533086002508284,383.39124705134066,0,543.11
