Hour,Date,2030_load,solar,wind,gas,batt_charge,batt_discharge,SOC,net_load,load_and_charge
4700,7/15/2018,564.9326148778599,0.0,228.17415357424795,336.75846130361197,0.0,0.0,2813.842357742996,0.0,564.93
4701,7/15/2018,522.8751348631159,0.0,161.3588816637795,361.42354052137773,0.0,0.09271267795877383,2813.7332840042213,0.0,522.88
4702,7/15/2018,475.36148612320505,0.0,113.58596224779521,250.01232325871615,0.0,111.76320061669372,2682.24716563164,0.0,475.36
4703,7/15/2018,441.56434104942,0.0,94.87768611286451,0.0,0.0,346.68665493655556,2274.380512765104,0.0,441.56
4704,7/16/2018,422.428230906526,0.0,80.51240265211445,0.0,0.0,341.91582825441157,1872.1265971716784,0.0,422.43
4705,7/16/2018,413.61348889642994,0.0,69.32084460711079,0.0,0.0,344.2926442893192,1467.076427419538,0.0,413.61
4706,7/16/2018,411.520240758313,0.0,81.51463173077055,0.0,0.0,330.00560902754245,1078.8345344459588,0.0,411.52
4707,7/16/2018,419.482075250496,0.0,94.71064793308778,0.0,0.0,324.7714273174082,696.7505023078314,0.0,419.48
4708,7/16/2018,441.26835711459796,48.31324820645578,109.91112229272005,0.0,0.0,283.04398661542217,363.7575768779229,0.0,441.27
4709,7/16/2018,461.841055436425,304.79682383496134,87.026891663384,0.0,0.0,70.01733993807972,281.3842357742996,0.0,461.84
4710,7/16/2018,484.35228822915707,481.5478230095342,74.83310453972425,0.0,72.02863932010146,0.0,353.4128750944011,-0.0,556.38
4711,7/16/2018,500.899438301638,629.6677477361851,72.3275318430819,0.0,201.095841277629,0.0,554.5087163720302,0.0,702.0
4712,7/16/2018,512.675188987683,752.2635729088719,117.26080220287179,0.0,356.8491861240607,0.0,911.3579024960909,0.0,869.52
4713,7/16/2018,530.95459874109,827.8497656087377,172.3834015290078,0.0,469.27856839665566,0.0,1380.6364708927467,0.0,1000.23
4714,7/16/2018,557.5485688940921,856.9891190835189,244.54389519231302,0.0,543.9844453817396,0.0,1924.6209162744867,0.0,1101.53
4715,7/16/2018,608.535702191585,858.1816217733773,220.65743548432087,0.0,470.30335506611317,0.0,2394.9242713406,0.0,1078.84
4716,7/16/2018,657.3083409846221,838.8579291367682,199.2765484729711,0.0,380.82613662511733,0.0,2775.7504079657174,0.0,1038.13
4717,7/16/2018,688.6709604068881,797.9496920278632,179.39900507960613,0.0,38.09194977727872,0.0,2813.842357742996,250.59,726.76
4718,7/16/2018,757.095342999572,726.603223015587,182.7397686751293,0.0,0.0,0.0,2813.842357742996,152.25,757.1
4719,7/16/2018,763.682320111029,620.7814649232769,186.0805322706538,0.0,0.0,0.0,2813.842357742996,43.18,763.68
4720,7/16/2018,764.4504208725899,492.0293616044043,189.25425768640028,83.1668015817855,0.0,0.0,2813.842357742996,0.0,764.45
4721,7/16/2018,778.47280900029,335.8185541547928,159.3544235064659,283.2998313390313,0.0,0.0,2813.842357742996,0.0,778.47
4722,7/16/2018,750.6252482944972,96.02810529912703,134.7998110793697,361.42354052137773,0.0,158.37379139462274,2627.5202502199104,0.0,750.63
4723,7/16/2018,737.6243213916841,0.0,115.59042040511022,361.42354052137773,0.0,260.61036046519627,2320.919826143209,0.0,737.62
4724,7/16/2018,713.7865683280171,0.0,122.60602395570855,361.42354052137773,0.0,229.75700385093074,2050.6174686715253,-0.0,713.79
4725,7/16/2018,640.522236461565,0.0,130.122742045637,361.42354052137773,0.0,148.97595389455017,1875.3516405602898,0.0,640.52
4726,7/16/2018,566.970446587532,0.0,137.6394601355641,361.42354052137773,0.0,67.9074459305903,1795.4605277007718,0.0,566.97
4727,7/16/2018,508.840064349783,0.0,199.61062483252311,188.483608778789,0.0,120.74583073847093,1653.4066091849236,0.0,508.84
4728,7/17/2018,471.216556660675,0.0,279.2878365857554,0.0,0.0,191.92872007491977,1427.6081149791355,0.0,471.22
4729,7/17/2018,454.576527863465,0.0,374.8336754177253,0.0,0.0,79.74285244573971,1333.792994454736,0.0,454.58
4730,7/17/2018,445.1232539499079,0.0,275.61299663068013,0.0,0.0,169.51025731922783,1134.369162314468,0.0,445.12
4731,7/17/2018,446.0981514033061,0.0,200.61285391118065,0.0,0.0,245.48529749212543,845.5629299707908,0.0,446.1
4732,7/17/2018,463.6220308978279,31.59319297664857,156.3477362704948,0.0,0.0,275.68110165068464,521.2322221464559,0.0,463.62
4733,7/17/2018,482.2742713881539,232.30291991391238,96.21399155107406,0.0,0.0,153.75735992316748,340.34121047214114,0.0,482.27
4734,7/17/2018,510.204363940573,405.30241248082376,54.788522966584004,0.0,0.0,50.11342849316525,281.3842357742996,0.0,510.2
4735,7/17/2018,528.307881488141,587.1267906970544,31.23613961814389,0.0,90.05504882705729,0.0,371.43928460135714,0.0,618.36
4736,7/17/2018,581.8401448062199,744.122251268084,13.363054382093965,0.0,175.6451608439581,0.0,547.0844454453154,0.0,757.49
4737,7/17/2018,585.46919612216,837.6315939195084,16.035665258513035,0.0,268.19806305586127,0.0,815.2825085011767,0.0,853.67
4738,7/17/2018,623.014371838343,868.6670736920865,20.044581573140253,0.0,265.6972834268837,0.0,1080.979791928062,0.0,888.71
4739,7/17/2018,666.2097741853449,872.537496515956,25.556841505753713,0.0,231.88456383636486,0.0,1312.8643557644268,0.0,898.09
4740,7/17/2018,693.083615553468,826.561897071453,37.583590449638145,0.0,171.0618719676235,0.0,1483.9262277320504,-0.0,864.15
4741,7/17/2018,688.5077694743089,726.64168016684,94.37657157353576,0.0,132.51048226606682,0.0,1616.4367099981164,0.0,821.02
4742,7/17/2018,726.458401810736,591.3804915472969,90.70173161846058,0.0,0.0,44.3761786449785,1564.2294410040245,0.0,726.46
4743,7/17/2018,750.164866979929,458.01307231065266,93.20730431510296,0.0,0.0,198.9444903541734,1330.1770994108788,0.0,750.16
4744,7/17/2018,783.442154782563,347.83482699478606,102.728480562345,0.0,0.0,332.8788472254319,938.5549262044877,0.0,783.44
4745,7/17/2018,809.7259957421759,225.54733511927049,245.5461242709691,0.0,0.0,338.6325363519364,540.1637069669154,0.0,809.73
4746,7/17/2018,782.3092501320172,62.73550390776982,499.61119571052427,0.0,0.0,219.9625505137233,281.3842357742996,0.0,782.31
4747,7/17/2018,755.4393873637991,0.0,873.442642049592,0.0,118.00325468579292,0.0,399.38749046009264,-0.0,873.44
4748,7/17/2018,715.100845744136,0.0,848.7209914427191,0.0,133.620145698583,0.0,533.0076361586756,0.0,848.72
4749,7/17/2018,636.4227647950389,0.0,823.3311881167408,0.0,186.90842332170178,0.0,719.9160594803775,0.0,823.33
4750,7/17/2018,565.63222372661,0.0,798.108422970539,0.0,232.4761992439289,0.0,952.3922587243064,0.0,798.11
4751,7/17/2018,513.976849337879,0.0,800.446957487406,0.0,286.4701081495271,0.0,1238.8623668738335,0.0,800.45
4752,7/18/2018,482.354049576177,0.0,798.94361386942,0.0,316.5895642932429,0.0,1555.4519311670765,0.0,798.94
4753,7/18/2018,463.7038749200411,0.0,792.0950484985968,0.0,328.3911735785557,0.0,1883.8431047456324,0.0,792.1
4754,7/18/2018,452.81873434078096,0.0,860.9147785663789,0.0,408.0960442255977,0.0,2291.93914897123,0.0,860.91
4755,7/18/2018,454.426120050529,0.0,925.3915159599817,0.0,470.9653959094527,0.0,2762.9045448806833,0.0,925.39
4756,7/18/2018,471.28639208711104,45.586532421977815,975.6700080726084,0.0,50.937812862313166,0.0,2813.842357742996,499.03,522.22
4757,7/18/2018,492.601823775952,322.679136245119,633.7428540707884,0.0,0.0,0.0,2813.842357742996,463.82,492.6
4758,7/18/2018,526.3582464703541,519.4730087110831,375.6688663166061,0.0,0.0,0.0,2813.842357742996,368.78,526.36
4759,7/18/2018,554.845168298894,699.9586803929873,222.16077910230575,0.0,0.0,0.0,2813.842357742996,367.27,554.85
4760,7/18/2018,583.582112202708,845.5751929365941,256.4036059564208,0.0,0.0,0.0,2813.842357742996,518.4,583.58
4761,7/18/2018,623.554969297783,923.105232418368,303.0072581139722,0.0,0.0,0.0,2813.842357742996,602.56,623.55
4762,7/18/2018,657.922459712187,943.7287424934877,363.8091555524984,0.0,0.0,0.0,2813.842357742996,649.62,657.92
4763,7/18/2018,700.9429071518331,942.4560107961063,381.3481644289963,0.0,0.0,0.0,2813.842357742996,622.86,700.94
